IDEspacio,Nombre del espacio,longitude,latitude,Espacio físico permanente,Tipo de espacio físico,Espacio especializado,Tipo de equipamiento,Archivo fílmico,Videoteca,Tipo de archivo,Redes
247,Casa de Cultura El Reloj (Ahora PILARES),-99.1416935,19.3174167,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
248,"Casa de Cultura ""Ricardo Flores Magón""",-99.1025554,19.3229416,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
249,Casa de Cultura Raúl Anguiano ,-99.1501601,19.3229872,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
250,Casa de las Letras ,-99.1371869,19.3335758,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
251,Casa de los Pueblos Originarios DR. Miguel León Portilla,-99.1530214,19.3381567,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
252,Sala Quetzalcóatl (Auditorio),-99.0907815,19.3587543,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
253,Biblioteca Pública Jorge Alberto Menrique,-99.1916238,19.5082611,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
254,Centro de Artes y Oficios del Ajusco Medio ,-99.2228533,19.2755019,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
255,Centro de Artes y Oficios de los Pueblos,-99.1591065575523,19.2343968582729,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
256,Centro de Artes y Oficios Mesa de los Hornos  ,-99.1830568,19.2742034,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
257,Centro ComunitarioLos Volcanes,-99.1764571,19.2692994,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
258,Casa Museo Cineclub Villeda,-99.1393411,19.3831238,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
259,Centro Cultural Carranza,-99.1147438788019,19.4194045692481,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
260,Casa de Cultura Fuego Nuevo ,-99.0939156,19.3589067,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
261,La casa de Cultura del Barrio San Antonio ,-99.0742922,19.3106968,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
262,"Casa de Las Mujeres ""Ifigenia Martínez"" ",-99.1698219,19.3145457,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
263,Cineforum ComunitarioItinerante,-99.0663966,19.2955479,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
264,Organización de Vecinos Popotla (ORVE- Popotla),-99.1776715744809,19.4536452179823,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
265,Colectivo Cultural Semilleros,-99.1030546002668,19.4457601112416,Sin información,Sin información,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
266,Casa del Hijo del Ahuizote,-99.1308043,19.4383784,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
267,Universidad Autónoma Metropolitana. Unidad Azcapotzalco,-99.187028,19.503389,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
268,"IEMS GAM 2 ""Salvador Allende""",-99.1046667,19.4838397,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
269,Facultad de Química,-99.1812638,19.3319335,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
270,Colegio de Ciencias y Humanidades Plantel Azcapotzalco UNAM,-99.2045536,19.4998328,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
271,Facultad de Ingeniería,-99.1847318,19.3316664,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
272,Facultad de Música,-99.1539003426154,19.3546480601191,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
273,Cineclub Labradores de Sueños (IEMS),-99.2858835002858,19.3616918073234,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
274,Escuela Itinerante de Cine y Narrativa ,-99.1533121,19.4199979,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
275,Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Zacatenco IPN,-99.1355838772905,19.4976217917803,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
276,"IEMS Plantel Iztapalapa II ""Benito Juárez""",-99.0651040621768,19.3146871987005,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
277,"IEMS Iztapalapa 3 ""Miravalle""",-98.9985162,19.3336388,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
278,Escuela Nacional de Antropología e Historia,-99.1797378459499,19.3023895106452,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
279,Universidad Pedagógica Nacional,-99.2101265,19.3018015,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
280,"IEMS Xochimilco ""Bernardino Sahagún""",-99.0259055717555,19.2584986244149,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
281,Facultad de Artes y Diseño,-99.118055,19.252085,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
282,El Rule Centro de Saberes,-99.1407065,19.4335607,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
283,Faro Xochicalli Poniente (Faro Azcapotzalco),-99.2001348,19.5069144,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
284,"LUNA 1 ""Tina Modotti""",-99.17720823466,19.3327554045237,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
285,"LUNA 2 ""Tina Modotti""",-99.1495077315457,19.3221787545114,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
286,Centro de Readaptación Social (Sur),-99.127525,19.2346199,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
287,"LUNA 1 ""Juana de Asbaje""",-99.1516772392005,19.4412780038977,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
288,"LUNA 2 ""Juana de Asbaje""",-99.1673115413471,19.4296740283241,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
289,"LUNA 1 ""Alaíde Foppa""",-99.1980483,19.3911882,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
290,"LUNA 2 ""Alaíde Foppa""",-99.2110073205442,19.3744319142602,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
291,"LUNA 1 ""Marcela Lagarde""",-99.1817405,19.4874448,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
292,"LUNA 1 ""Benita Galeana""",-99.146825,19.390868,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
293,"LUNA 2 ""Benita Galeana""",-99.1435938,19.3835803,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
294,"LUNA 1 ""Amparo Ochoa""",-99.3031151272476,19.3483775151596,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
295,"LUNA 2 ""Amparo Ochoa""",-99.294882,19.356444,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
296,"LUNA 1 ""Nahui Ollín""",-99.1170214968689,19.4833109970505,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
297,"LUNA 2 ""Nahui Ollín""",-99.1177145113297,19.463986141017,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
298,"LUNA 1 ""Coatlicue""",-99.1253188290935,19.3903910943476,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
299,"LUNA 2 ""Coatlicue""",-99.0732795428023,19.4000575208711,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
300,"LUNA ""Elena Poniatowska""",-99.0928450070082,19.3520284315357,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
301,"LUNA ""Cristina Pacheco""",-99.2488472938413,19.315441002927,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
302,LUNA 1 Frida Kahlo ,-99.1887691422968,19.405707243666,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
303,LUNA 2 Frida Kahlo ,-99.1993228327698,19.4026572313366,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
304,LUNA 1 Cihual In Calli ,-99.021449,19.19112,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
305,LUNA 2 Cihual In Calli ,-99.0310684,19.1980852,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
306,Cine Club Atlántico,-99.144297,19.433207,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
307,IFAL- Instituto Francés de América Latina,-99.1667241,19.4326443,Sí,No aplica,Sala de cine,Sin información,Sin información,Sin información,Sin información,Sin información
308,"PILARES ""Belén de las Flores""",-99.2175597680606,19.3970415717805,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
309,"PILARES ""Jalalpa Tepito""",-99.2373228466012,19.3742147579981,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
310,"PILARES ""Margarita Maza de Juárez""",-99.1990971,19.4902399,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
311,"PILARES ""Cantera""",-99.1718502659286,19.3179266043952,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
312,"PILARES ""Atlampa""",-99.1601083524341,19.460352910288,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
313,"PILARES ""Tlalpexco""",-99.125747486437,19.54487036261,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
314,"PILARES ""Agrícola Pantitlán""",-99.0682583,19.4154049,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
315,"PILARES ""Huayatla""",-99.2484384241872,19.305462236098,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
316,"PILARES ""Chimalpa""",-99.3177123781789,19.3529835854115,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
317,"PILARES ""San Simón Tolnáhuac""",-99.1438166956695,19.4614599949292,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
318,Instituto de la Juventud ,-99.1716735132574,19.4494949235662,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
319,"CENTRO (Centro de diseño,cine y televisión)",-99.2038637825712,19.4050883302988,Sin información,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
320,Museo Regional Altepepialcalli,-99.0216529807212,19.1925202277451,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
321,Casa de Cultura Calmecac,-99.0310684,19.1980852,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
322,Cinenauta,-99.1628191276484,19.347974036103,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
323,Museo Casa de la Bola,-99.18844,19.40474,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
324,Seminario 12,-99.1318278647612,19.4340606225255,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
325,Universidad del Distrito Federal Campus Condesa,-99.16888,19.40819,Sin información,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
326,El Hormiguero,-99.16845,19.36994,Sin información,Privado,Sala de cine,Sin información,Sin información,Sin información,Sin información,Sin información
327,Cineclub Unidad de Género Comisión de Derechos Humanos de la CDMX,-99.17482,19.35503,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
328,Semillitas de Colores ( Casa del Éxodo),-99.2454647766499,19.2708418819851,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
329,Soy Audiovisual,-99.1829467132869,19.4908735944254,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
330,Cine Club Indigente Copal,,,Sí,Comunitario,Adaptado,Equipamiento mínimo,No,Sí,Otro,Sí
331,"Cinemanía, espacio de exhibición", -99.19249849008973,19.33999285020926,Sí,Rentado,Sala de proyecciones,Equipamiento profesional,Sí,No,Físico,No
332,Cineclub Ellas Dirigen,-99.13125737659341,19.43259684670379,No aplica,No aplica,Adaptado,Equipamiento insuficiente,Sí,No,Digital,Sí
333,FARO Aragón , -99.0917568170776,19.460954515535974,No aplica,Público,Adaptado,Equipamiento insuficiente,No,No,Otro,Sí
334,Centro Comunitario, -98.99667551243115,19.34211554392239,Sí,Comunitario,Adaptado,Equipamiento mínimo,Sí,No,Físico,Sí
335,CineClubA7, -99.15043632036736,19.350786827821665,Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
336,Cineclub Tóxico, -99.15395473709394,19.395345714964677,No aplica,No aplica,Adaptado,Equipamiento insuficiente,No,No,Digital,No
337,Tecnológico de Monterrey Campus Santa Fe,-99.25873956084332,19.3594425038494,Sí,Privado,Sala de proyecciones,Equipamiento adecuado,No,Sí,Físico,No
338,Foro Cultural el Caracol ,-99.14213588967984,19.339024374895175,Sí,Comunitario,Adaptado,Equipamiento insuficiente,No,No,Físico,No
339,Cinemacatlán,-99.24778772036377,19.487121424164904,Sí,Público,Sala de proyecciones,Equipamiento profesional,Sí,No,Físico,Sí
340,Libreria Centro Cultural Pájaro de Calor,-99.140901849203,19.363735320729567,Sí,Público,Sala de proyecciones,Equipamiento adecuado,Sí,Sí,Físico,No
341,CineClub Congreso 20,-99.1674771232308,19.28945203819947,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Digital,No
342,Centro cultural Foro la Cura,-99.13389664735018,19.399379196134962,Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
343,Argentina 8mm,-99.13189124734927,19.435492083867587,Sí,Privado,Adaptado,Equipamiento mínimo,Sí,No,Físico,No
344,Cinema 242,-99.0836224473513,19.35758026236331,Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,No
345,Cine Club Santa Rosa,-99.1462746338571,19.4365097301432,Sí,Privado,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
346,Laboratorio por los derechos culturales MH,-99.18890726087318,19.38359835461174,No,No aplica,No aplica,Equipamiento insuficiente,No,No,Sin información,No
347,Proyecto Narud, -99.18783648970874,19.395181181601764,Sí,Comunitario,No aplica,Equipamiento insuficiente,No,No,Sin información,No
348,Indomita cine comunitario,-99.0115837838844,19.34705840559643,No aplica,No aplica,Adaptado,Equipamiento mínimo,No,No,Físico,No
349,CINE CON-SENTIDO,-99.19820257009971,19.45318190267383,Sí,No aplica,Sala de proyecciones,Equipamiento profesional,Sí,Sí,Otro,Sí
350,Cineclub EIA4,-99.14689566084118,19.43880669272459,Sí,No aplica,Adaptado,Equipamiento mínimo,No,Sí,Digital,No
351,CineForo Mayahuel,-99.28174464920359,"19.342485723852985, ",No,,Adaptado,Equipamiento adecuado,Sí,Sí,Digital,Sí
352,Cineclub Cinema Acatlán,-99.24298380687186,19.482400333029858,Sí,No aplica,Sala de proyecciones,Equipamiento profesional,No,No,Otro,Sí
353,Cineclub Cotidiano Crew,-99.00545090687731,19.274250421711383,No aplica,No aplica,No aplica,Equipamiento insuficiente,No,No,Digital,No
354,Hierofante Café,-99.13924914549827,19.400703333706744,Sí,Rentado,Adaptado,Equipamiento insuficiente,No,No,Otro,Sí
355,La Sobremesa Cineclub,-99.1388840185142,19.400650973093136,Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
356,"Nocturama, cineclub de Tristessa",-99.14358650687404,19.399688157750834,Sí,Rentado,Adaptado,Equipamiento mínimo,No,Sí,Físico,Sí
357,Casona,-99.02317810502764,19.190426835141466,Sí,No aplica,Adaptado,Equipamiento mínimo,No,No,Otro,No
358,Foro Cultural Calmecac,-99.03120897619145,19.19852509300182,Sí,No aplica,Adaptado,Equipamiento adecuado,No,No,Otro,No
